id,text,true_intent,pred_intent,reply,evidence,escalate,esc_reason,sim
122,@AmazonHelp my package for #822610370 says delivered but I never got it!,delivery_issue,delivery_issue,I'm really sorry to hear that -- a 'delivered' status with no package on hand happens occasionally with carrier scanning errors. I've opened a trace on #822610370 and can send a replacement or refund once confirmed. ^JT,I'm really sorry to hear that -- a 'delivered' status with no package on hand happens occasionally with carrier scanning errors. I've opened a trace on #548700579 and can send a replacement or refund once confirmed. ^JT,False,"intent 'delivery_issue' is low-risk, grounding confidence 0.86 is above threshold, no escalation triggers found",0.863
162,"received my order but it's DOA, order #512225268 @AmazonHelp #customerservice",product_defect,product_defect,"Sorry to hear the running shoes isn't working as expected. I can process a free replacement for #512225268 -- no return needed for defective items under $50, otherwise a prepaid label will be emailed. ^PL","Sorry to hear the running shoes isn't working as expected. I can process a free replacement for #933062386 -- no return needed for defective items under $50, otherwise a prepaid label will be emailed. ^PL",False,"intent 'product_defect' is low-risk, grounding confidence 0.72 is above threshold, no escalation triggers found",0.725
158,"please refund #755074258, the laptop stand isn't what I ordered @AmazonHelp",refund_request,refund_request,"I've started a refund of $24.0 for #755074258, it should post back to your original payment method within 3-5 business days. Sorry for the trouble. ^SN","I've started a refund of $24.0 for #838953322, it should post back to your original payment method within 3-5 business days. Sorry for the trouble. ^SN",False,"intent 'refund_request' is low-risk, grounding confidence 0.56 is above threshold, no escalation triggers found",0.557
195,"@AmazonHelp the running shoes has a manufacturing defect, screen won't turn on, #673603541",product_defect,product_defect,"Sorry to hear my order isn't working as expected. I can process a free replacement for #673603541 -- no return needed for defective items under $50, otherwise a prepaid label will be emailed. ^PL","Sorry to hear my order isn't working as expected. I can process a free replacement for #156762956 -- no return needed for defective items under $50, otherwise a prepaid label will be emailed. ^PL",False,"intent 'product_defect' is low-risk, grounding confidence 0.92 is above threshold, no escalation triggers found",0.919
25,"requesting a refund on #991259765, wrong size sent @amazonhelp",refund_request,refund_request,"I've started a refund of $19.99 for #991259765, it should post back to your original payment method within 3-5 business days. Sorry for the trouble. ^SN","I've started a refund of $19.99 for #221393557, it should post back to your original payment method within 3-5 business days. Sorry for the trouble. ^SN",False,"intent 'refund_request' is low-risk, grounding confidence 0.80 is above threshold, no escalation triggers found",0.802
115,"@amazonhelp still waiting on the running shoes, order #113640776, no updates at all",order_status,order_status,Sorry for the wait! Order #113640776 left our facility 7 days ago -- carrier updates can lag behind actual movement. I've flagged it for a status refresh. ^KL,Sorry for the wait! Order #590941149 left our facility 7 days ago -- carrier updates can lag behind actual movement. I've flagged it for a status refresh. ^KL,False,"intent 'order_status' is low-risk, grounding confidence 0.66 is above threshold, no escalation triggers found",0.658
78,"received Echo Dot but it's DOA, order #101474783 @AmazonHelp #help",product_defect,product_defect,"Sorry to hear the running shoes isn't working as expected. I can process a free replacement for #101474783 -- no return needed for defective items under $50, otherwise a prepaid label will be emailed. ^PL","Sorry to hear the running shoes isn't working as expected. I can process a free replacement for #933062386 -- no return needed for defective items under $50, otherwise a prepaid label will be emailed. ^PL",False,"intent 'product_defect' is low-risk, grounding confidence 0.44 is above threshold, no escalation triggers found",0.443
37,"@amazonhelp can't log in and my last order #169267648 looks like it was placed by someone else, scary",account_access,account_access,"I'm sorry for the trouble accessing your account. For your security I can't fix login issues here on Twitter -- please use the account recovery flow in the app, or DM us and we'll verify your identity securely. ^HN","I'm sorry for the trouble accessing your account. For your security I can't fix login issues here on Twitter -- please use the account recovery flow in the app, or DM us and we'll verify your identity securely. ^HN",True,intent 'account_access' is policy-flagged as always-human (money movement or account security),0.372
24,"@AmazonHelp the the blender I got for order #616879824 is broken AND I never even wanted it, just refund me",refund_request,delivery_issue,"That's not the experience we want for you. I've flagged #616879824 for a damaged-item replacement, no need to return the broken item. You'll get a confirmation email shortly. ^MB","That's not the experience we want for you. I've flagged #597146648 for a damaged-item replacement, no need to return the broken item. You'll get a confirmation email shortly. ^MB",False,"intent 'delivery_issue' is low-risk, grounding confidence 0.34 is above threshold, no escalation triggers found",0.335
138,"Still no delivery for #396272390, it's been 4 days past the estimate @AmazonHelp",delivery_issue,delivery_issue,I'm really sorry to hear that -- a 'delivered' status with no package on hand happens occasionally with carrier scanning errors. I've opened a trace on #396272390 and can send a replacement or refund once confirmed. ^JT,I'm really sorry to hear that -- a 'delivered' status with no package on hand happens occasionally with carrier scanning errors. I've opened a trace on #606882594 and can send a replacement or refund once confirmed. ^JT,False,"intent 'delivery_issue' is low-risk, grounding confidence 0.86 is above threshold, no escalation triggers found",0.863
178,"@AmazonHelp can't log in AND my last order #917277069 looks like it was placed by someone else, scary",account_access,account_access,"I'm sorry for the trouble accessing your account. For your security I can't fix login issues here on Twitter -- please use the account recovery flow in the app, or DM us and we'll verify your identity securely. ^HN","I'm sorry for the trouble accessing your account. For your security I can't fix login issues here on Twitter -- please use the account recovery flow in the app, or DM us and we'll verify your identity securely. ^HN",True,intent 'account_access' is policy-flagged as always-human (money movement or account security),0.372
163,@AmazonHelp why did you discontinue the vacuum filter?? bring it back,other,other,"Thanks for the feedback, I'll pass this along to the right team. Let us know if there's anything specific we can help troubleshoot in the meantime. ^EV","Thanks for the feedback, I'll pass this along to the right team. Let us know if there's anything specific we can help troubleshoot in the meantime. ^EV",False,"intent 'other' is low-risk, grounding confidence 0.80 is above threshold, no escalation triggers found",0.802
11,"the running shoes from #732846296 came broken, can you also refund the shipping I paid, @AmazonHelp #help",refund_request,product_defect,"Sorry to hear my order isn't working as expected. I can process a free replacement for #732846296 -- no return needed for defective items under $50, otherwise a prepaid label will be emailed. ^PL","Sorry to hear my order isn't working as expected. I can process a free replacement for #156762956 -- no return needed for defective items under $50, otherwise a prepaid label will be emailed. ^PL",False,"intent 'product_defect' is low-risk, grounding confidence 0.34 is above threshold, no escalation triggers found",0.337
153,why is there an extra charge of $9.99 on my card @AmazonHelp? Order was #773200990,billing_dispute,billing_dispute,Thanks for flagging this -- a duplicate authorization can show as two charges but usually only one settles. I'm escalating #773200990 to billing to confirm and reverse the extra $9.99 if needed. ^CW,Thanks for flagging this -- a duplicate authorization can show as two charges but usually only one settles. I'm escalating #355419939 to billing to confirm and reverse the extra $199.99 if needed. ^CW,True,intent 'billing_dispute' is policy-flagged as always-human (money movement or account security),0.865
102,"@amazonhelp order #142531493 shows delivered but the box was empty when opened, wtf is going on",delivery_issue,delivery_issue,"That's not the experience we want for you. I've flagged #142531493 for a damaged-item replacement, no need to return the broken item. You'll get a confirmation email shortly. ^MB","That's not the experience we want for you. I've flagged #165452764 for a damaged-item replacement, no need to return the broken item. You'll get a confirmation email shortly. ^MB",False,"intent 'delivery_issue' is low-risk, grounding confidence 0.36 is above threshold, no escalation triggers found",0.365
199,@AmazonHelp my package for #320038160 says delivered but I never got it!,delivery_issue,delivery_issue,I'm really sorry to hear that -- a 'delivered' status with no package on hand happens occasionally with carrier scanning errors. I've opened a trace on #320038160 and can send a replacement or refund once confirmed. ^JT,I'm really sorry to hear that -- a 'delivered' status with no package on hand happens occasionally with carrier scanning errors. I've opened a trace on #548700579 and can send a replacement or refund once confirmed. ^JT,False,"intent 'delivery_issue' is low-risk, grounding confidence 0.86 is above threshold, no escalation triggers found",0.863
168,"can you tell me the status of #896786623, ordered it a while back @amazonhelp",order_status,order_status,"Hi, thanks for reaching out. I can see order #896786623 is currently in transit and the latest scan shows it's on track for delivery. I'll share the live tracking link via DM. ^AR","Hi, thanks for reaching out. I can see order #754049436 is currently in transit and the latest scan shows it's on track for delivery. I'll share the live tracking link via DM. ^AR",False,"intent 'order_status' is low-risk, grounding confidence 0.88 is above threshold, no escalation triggers found",0.878
191,@AmazonHelp my package for #567536621 says delivered but I never got it!,delivery_issue,delivery_issue,I'm really sorry to hear that -- a 'delivered' status with no package on hand happens occasionally with carrier scanning errors. I've opened a trace on #567536621 and can send a replacement or refund once confirmed. ^JT,I'm really sorry to hear that -- a 'delivered' status with no package on hand happens occasionally with carrier scanning errors. I've opened a trace on #548700579 and can send a replacement or refund once confirmed. ^JT,False,"intent 'delivery_issue' is low-risk, grounding confidence 0.86 is above threshold, no escalation triggers found",0.863
167,"@AmazonHelp I can't log into my account, keeps saying wrong password",account_access,account_access,"I'm sorry for the trouble accessing your account. For your security I can't fix login issues here on Twitter -- please use the account recovery flow in the app, or DM us and we'll verify your identity securely. ^HN","I'm sorry for the trouble accessing your account. For your security I can't fix login issues here on Twitter -- please use the account recovery flow in the app, or DM us and we'll verify your identity securely. ^HN",True,intent 'account_access' is policy-flagged as always-human (money movement or account security),1.0
41,"Hi @AmazonHelp, where is my order #696269396? It's been 7 days.",order_status,order_status,"Hi, thanks for reaching out. I can see order #696269396 is currently in transit and the latest scan shows it's on track for delivery. I'll share the live tracking link via DM. ^AR","Hi, thanks for reaching out. I can see order #899925830 is currently in transit and the latest scan shows it's on track for delivery. I'll share the live tracking link via DM. ^AR",False,"intent 'order_status' is low-risk, grounding confidence 0.81 is above threshold, no escalation triggers found",0.809
160,"@AmazonHelp order #242308467 shows delivered but the box was empty when opened, wtf is going on",delivery_issue,delivery_issue,"That's not the experience we want for you. I've flagged #242308467 for a damaged-item replacement, no need to return the broken item. You'll get a confirmation email shortly. ^MB","That's not the experience we want for you. I've flagged #165452764 for a damaged-item replacement, no need to return the broken item. You'll get a confirmation email shortly. ^MB",False,"intent 'delivery_issue' is low-risk, grounding confidence 0.36 is above threshold, no escalation triggers found",0.365
4,@AmazonHelp my package for #738159556 says delivered but I never got it!,delivery_issue,delivery_issue,I'm really sorry to hear that -- a 'delivered' status with no package on hand happens occasionally with carrier scanning errors. I've opened a trace on #738159556 and can send a replacement or refund once confirmed. ^JT,I'm really sorry to hear that -- a 'delivered' status with no package on hand happens occasionally with carrier scanning errors. I've opened a trace on #548700579 and can send a replacement or refund once confirmed. ^JT,False,"intent 'delivery_issue' is low-risk, grounding confidence 0.86 is above threshold, no escalation triggers found",0.863
136,when will #978179896 arrive?? @AmazonHelp tracking says nothing,order_status,order_status,"Hi, thanks for reaching out. I can see order #978179896 is currently in transit and the latest scan shows it's on track for delivery. I'll share the live tracking link via DM. ^AR","Hi, thanks for reaching out. I can see order #950488739 is currently in transit and the latest scan shows it's on track for delivery. I'll share the live tracking link via DM. ^AR",False,"intent 'order_status' is low-risk, grounding confidence 0.85 is above threshold, no escalation triggers found",0.849
17,"@AmazonHelp the headphones has a manufacturing defect, screen won't turn on, #222379492",product_defect,product_defect,"Sorry to hear my order isn't working as expected. I can process a free replacement for #222379492 -- no return needed for defective items under $50, otherwise a prepaid label will be emailed. ^PL","Sorry to hear my order isn't working as expected. I can process a free replacement for #106238675 -- no return needed for defective items under $50, otherwise a prepaid label will be emailed. ^PL",False,"intent 'product_defect' is low-risk, grounding confidence 0.90 is above threshold, no escalation triggers found",0.902
16,"Order #857854295 arrived completely smashed, the laptop stand is broken @AmazonHelp",delivery_issue,delivery_issue,"That's not the experience we want for you. I've flagged #857854295 for a damaged-item replacement, no need to return the broken item. You'll get a confirmation email shortly. ^MB","That's not the experience we want for you. I've flagged #861003571 for a damaged-item replacement, no need to return the broken item. You'll get a confirmation email shortly. ^MB",False,"intent 'delivery_issue' is low-risk, grounding confidence 0.86 is above threshold, no escalation triggers found",0.862
10,when will #243393646 arrive?? @AmazonHelp tracking says nothing,order_status,order_status,"Hi, thanks for reaching out. I can see order #243393646 is currently in transit and the latest scan shows it's on track for delivery. I'll share the live tracking link via DM. ^AR","Hi, thanks for reaching out. I can see order #950488739 is currently in transit and the latest scan shows it's on track for delivery. I'll share the live tracking link via DM. ^AR",False,"intent 'order_status' is low-risk, grounding confidence 0.85 is above threshold, no escalation triggers found",0.849
196,"@AmazonHelp refund me $14.5 for #827256581, you charged me twice for one item",refund_request,billing_dispute,Thanks for flagging this -- a duplicate authorization can show as two charges but usually only one settles. I'm escalating #827256581 to billing to confirm and reverse the extra $14.5 if needed. ^CW,Thanks for flagging this -- a duplicate authorization can show as two charges but usually only one settles. I'm escalating #506603082 to billing to confirm and reverse the extra $19.99 if needed. ^CW,True,intent 'billing_dispute' is policy-flagged as always-human (money movement or account security),0.286
62,"Hi @AmazonHelp, where is my order #732849462? It's been 4 days.",order_status,order_status,"Hi, thanks for reaching out. I can see order #732849462 is currently in transit and the latest scan shows it's on track for delivery. I'll share the live tracking link via DM. ^AR","Hi, thanks for reaching out. I can see order #899925830 is currently in transit and the latest scan shows it's on track for delivery. I'll share the live tracking link via DM. ^AR",False,"intent 'order_status' is low-risk, grounding confidence 0.81 is above threshold, no escalation triggers found",0.809
154,"@AmazonHelp this charge for #523117391 doesn't match what I was quoted, $199.99 is wrong",billing_dispute,billing_dispute,Thanks for flagging this -- a duplicate authorization can show as two charges but usually only one settles. I'm escalating #523117391 to billing to confirm and reverse the extra $199.99 if needed. ^CW,Thanks for flagging this -- a duplicate authorization can show as two charges but usually only one settles. I'm escalating #447972640 to billing to confirm and reverse the extra $14.5 if needed. ^CW,True,intent 'billing_dispute' is policy-flagged as always-human (money movement or account security),0.876
8,"@AmazonHelp think my account was hacked, someone placed an order I didn't make, #228576570",account_access,account_access,"I'm sorry for the trouble accessing your account. For your security I can't fix login issues here on Twitter -- please use the account recovery flow in the app, or DM us and we'll verify your identity securely. ^HN","I'm sorry for the trouble accessing your account. For your security I can't fix login issues here on Twitter -- please use the account recovery flow in the app, or DM us and we'll verify your identity securely. ^HN",True,intent 'account_access' is policy-flagged as always-human (money movement or account security),0.917
